,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,HS__1.5Unf,HS__1Story,HS__2.5Fin,HS__2.5Unf,HS__2Story,HS__SFoyer,HS__SLvl,EQ__Fa,EQ__Gd,EQ__TA,HQC__Fa,HQC__Gd,HQC__Po,HQC__TA,KQ__Fa,KQ__Gd,KQ__TA
40,8658,6,5,1965,101.0,1088,1324,2,0,3,6,1,440,0,138,12,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,16905,5,6,1959,0.0,1350,1328,1,1,2,5,2,308,0,104,7,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
42,9180,5,7,1983,0.0,840,884,1,0,2,5,0,504,240,0,12,2007,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
43,9200,5,6,1975,0.0,938,938,1,0,3,5,0,308,145,0,7,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
44,7945,5,6,1959,0.0,1150,1150,1,0,3,6,0,300,0,0,5,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,7658,9,5,2005,412.0,1752,1752,2,0,2,6,1,576,196,82,2,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,12822,7,5,2003,0.0,1434,2149,1,1,1,6,1,670,168,43,8,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,11096,8,5,2006,0.0,1656,1656,2,0,3,7,0,826,0,146,7,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
48,4456,4,5,1920,0.0,736,1452,2,0,2,8,0,0,0,0,6,2009,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
49,7742,5,7,1966,0.0,955,955,1,0,3,6,0,386,0,0,1,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,13869,6,6,1997,0.0,794,1470,2,0,3,6,0,388,0,75,7,2007,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
51,6240,6,6,1934,0.0,816,1176,1,0,3,6,1,528,112,0,9,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
52,8472,5,5,1963,0.0,816,816,1,0,2,5,0,516,106,0,5,2010,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
53,50271,9,5,1981,0.0,1842,1842,0,1,0,5,1,894,857,72,11,2006,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
54,7134,5,5,1955,0.0,384,1360,1,0,3,6,1,572,0,50,2,2007,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
55,10175,6,5,1964,272.0,1425,1425,2,0,3,7,1,576,0,0,7,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
56,2645,8,5,1999,456.0,970,1739,2,1,3,7,0,480,115,0,8,2009,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57,11645,7,5,2004,0.0,860,1720,2,1,3,7,0,565,0,70,8,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
58,13682,10,5,2006,1031.0,1410,2945,3,1,3,10,1,641,192,0,10,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
59,7200,5,7,1972,0.0,780,780,1,0,2,4,0,352,196,0,1,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,13072,6,5,2004,0.0,1158,1158,1,1,3,5,0,576,0,50,5,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61,7200,5,7,1920,0.0,530,1111,1,0,3,6,0,288,0,0,3,2007,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
62,6442,8,5,2006,178.0,1370,1370,2,0,2,6,1,484,120,49,10,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,10300,7,6,1921,0.0,576,1710,2,0,3,9,0,480,12,11,4,2010,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
64,9375,7,5,1997,573.0,1057,2034,2,1,3,8,0,645,576,36,2,2009,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
65,9591,8,5,2004,344.0,1143,2473,2,1,4,9,1,852,192,151,10,2007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
66,19900,7,5,1970,287.0,1947,2207,2,0,3,7,1,576,301,0,7,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
67,10665,7,5,2003,167.0,1453,1479,2,0,3,7,0,558,144,29,6,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
68,4608,4,6,1945,0.0,747,747,1,0,2,4,0,220,0,0,6,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
69,15593,7,4,1953,0.0,1304,2287,2,0,3,7,1,667,0,21,7,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
70,13651,7,6,1973,1115.0,2223,2223,2,0,3,8,2,516,300,0,2,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
71,7599,4,6,1982,0.0,845,845,1,0,2,4,0,360,0,0,6,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
72,10141,7,5,1998,40.0,832,1718,2,1,3,7,1,427,0,94,12,2009,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
73,10200,5,7,1954,104.0,1086,1086,1,0,3,6,0,490,0,0,5,2010,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
74,5790,3,6,1915,0.0,840,1605,2,0,3,8,0,379,0,0,5,2010,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
75,1596,4,5,1973,0.0,462,988,1,0,2,5,0,297,120,101,11,2009,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
76,8475,4,7,1956,0.0,952,952,1,0,2,4,0,283,0,0,4,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77,8635,5,5,1948,0.0,672,1285,1,0,2,6,0,240,0,0,1,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
78,10778,4,5,1968,0.0,1768,1768,2,0,4,8,0,0,0,0,4,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
79,10440,5,6,1910,0.0,440,1230,1,1,2,5,0,440,74,0,5,2009,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
80,13000,6,6,1968,576.0,896,2142,2,1,4,8,1,509,0,72,6,2009,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
81,4500,6,5,1998,443.0,1237,1337,2,0,2,5,0,405,0,199,3,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
82,10206,8,5,2007,468.0,1563,1563,2,0,3,6,1,758,144,99,10,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
83,8892,5,5,1960,66.0,1065,1065,1,1,3,6,0,461,74,0,7,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
84,8530,7,5,1995,22.0,384,1474,2,1,3,7,1,400,120,72,5,2009,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
85,16059,8,5,1991,284.0,1288,2417,2,1,4,9,1,462,127,82,4,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
86,11911,6,5,2005,0.0,684,1560,2,1,3,6,1,400,100,38,3,2009,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
87,3951,6,5,2009,76.0,612,1224,2,1,2,4,0,528,0,234,6,2009,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
88,8470,3,2,1915,0.0,1013,1526,1,0,2,6,0,0,0,0,10,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
89,8070,4,5,1994,0.0,990,990,1,0,3,5,0,0,0,0,8,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
90,7200,4,5,1950,0.0,0,1040,1,0,2,4,0,420,0,29,7,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
91,8500,5,3,1961,203.0,1235,1235,1,0,2,6,0,480,0,0,12,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
92,13360,5,7,1921,0.0,876,964,1,0,2,5,0,432,0,0,8,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
93,7200,6,6,1910,0.0,1214,2291,2,0,4,9,1,506,0,0,11,2007,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
94,9337,6,5,1997,0.0,824,1786,2,1,3,7,0,684,0,162,5,2007,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
95,9765,6,8,1993,68.0,680,1470,2,1,3,6,1,420,232,63,4,2009,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
96,10264,7,5,1999,183.0,1588,1588,2,0,3,6,0,472,158,29,8,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
97,10921,4,5,1965,48.0,960,960,1,0,3,6,0,432,120,0,5,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
98,10625,5,5,1920,0.0,458,835,1,0,2,5,0,366,0,0,5,2010,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
99,9320,4,5,1959,0.0,950,1225,1,1,3,6,0,0,352,0,1,2010,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
100,10603,6,7,1977,28.0,1610,1610,2,0,3,6,2,480,168,68,2,2010,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
101,9206,6,5,1985,336.0,741,1732,2,1,3,7,1,476,192,46,6,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
102,7018,5,5,1979,0.0,0,1535,2,0,4,8,0,410,0,0,6,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
103,10402,7,5,2009,0.0,1226,1226,2,0,3,6,0,740,0,36,5,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
104,7758,7,4,1931,600.0,1040,1818,1,1,4,7,2,240,0,0,6,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
105,9375,8,5,2003,768.0,1053,1992,2,1,3,9,1,648,140,45,8,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
106,10800,4,7,1885,0.0,641,1047,1,0,2,6,0,273,0,0,8,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
107,6000,5,5,1948,0.0,789,789,1,0,2,5,0,250,0,0,4,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
108,8500,5,7,1919,0.0,793,1517,2,0,3,7,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
109,11751,6,6,1977,480.0,1844,1844,2,0,3,7,1,546,0,122,1,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
110,9525,6,4,1954,0.0,994,1855,2,0,4,7,0,325,182,0,10,2006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
111,7750,7,5,2000,0.0,384,1430,2,1,3,7,1,400,180,0,4,2010,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
112,9965,7,5,2007,220.0,1264,2696,2,1,4,10,1,792,120,184,10,2007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
113,21000,6,5,1953,184.0,1809,2259,2,0,3,7,2,450,166,120,10,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
114,7259,6,8,1945,0.0,1028,2320,2,1,3,9,1,180,224,0,7,2007,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
115,3230,6,5,1999,1129.0,729,1458,2,1,2,5,1,440,0,32,6,2007,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
116,11616,5,5,1962,116.0,1092,1092,1,0,3,6,1,288,0,20,9,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
117,8536,5,5,2006,0.0,1125,1125,1,1,2,5,0,430,80,64,4,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
118,12376,7,5,1990,0.0,1673,3222,3,0,5,11,2,594,367,0,5,2010,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
119,8461,6,5,2005,0.0,728,1456,2,1,3,8,1,390,0,24,7,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
120,21453,6,5,1969,0.0,938,988,1,0,1,4,2,540,0,130,10,2006,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
121,6060,4,5,1939,0.0,732,1123,1,0,3,4,0,264,0,0,6,2007,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
122,9464,6,7,1958,135.0,1080,1080,1,0,3,5,0,288,0,0,6,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
123,7892,6,5,1993,0.0,1199,1199,2,0,2,5,0,530,0,63,3,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
124,17043,6,5,1979,0.0,1362,1586,2,0,3,7,1,435,192,0,1,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
125,6780,6,8,1935,0.0,520,754,1,0,2,5,0,0,53,0,6,2006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
126,4928,6,5,1976,0.0,1078,958,2,0,2,5,1,440,0,205,2,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
127,4388,5,7,1930,0.0,672,840,1,0,3,5,1,0,0,0,6,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
128,7590,6,5,1966,266.0,660,1348,1,1,3,6,1,453,188,108,7,2006,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
129,8973,5,7,1958,85.0,1008,1053,1,1,3,6,0,750,0,80,7,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
130,14200,7,6,1966,309.0,924,2157,2,1,4,8,2,487,105,66,5,2006,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
131,12224,6,5,2000,40.0,992,2054,2,1,3,7,1,390,24,48,7,2009,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
132,7388,5,6,1959,0.0,1063,1327,1,0,3,7,0,624,0,0,7,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
133,6853,8,5,2001,136.0,1267,1296,2,0,2,6,0,471,192,25,6,2009,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
134,10335,5,6,1968,0.0,1461,1721,2,1,3,7,1,440,0,96,7,2006,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
135,10400,7,6,1970,288.0,1304,1682,2,0,3,7,1,530,98,0,5,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
136,10355,5,5,1967,196.0,1214,1214,2,0,3,5,1,318,0,111,7,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
137,11070,7,5,1988,70.0,1907,1959,3,0,5,9,0,766,0,0,7,2006,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
138,9066,8,5,1999,320.0,1004,1852,2,1,3,7,2,660,224,106,12,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
139,15426,6,5,1997,0.0,928,1764,2,1,3,7,0,470,276,99,8,2009,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
140,10500,4,5,1971,0.0,864,864,1,0,3,5,1,0,0,0,4,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
141,11645,7,5,2005,0.0,1734,1734,2,0,3,7,0,660,160,24,1,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
142,8520,5,4,1952,0.0,910,1385,2,0,4,6,0,720,0,0,6,2010,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
143,10335,7,5,1999,183.0,1490,1501,2,0,3,6,0,577,144,29,6,2009,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
144,9100,5,5,1963,336.0,1728,1728,2,0,6,10,0,504,0,0,11,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
145,2522,6,5,2004,50.0,970,1709,2,0,3,7,0,380,0,40,4,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
146,6120,5,7,1931,0.0,715,875,1,0,2,5,0,180,48,0,11,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
147,9505,7,5,2001,180.0,884,2035,2,1,3,8,1,434,144,48,5,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
148,7500,7,5,2004,120.0,1080,1080,1,0,3,6,0,0,0,0,4,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149,6240,5,4,1936,0.0,896,1344,1,0,3,7,0,240,200,114,4,2006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
150,10356,5,6,1975,0.0,969,969,1,1,3,5,0,440,0,0,1,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
151,13891,8,5,2007,436.0,1710,1710,2,0,2,6,1,866,0,102,1,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
152,14803,6,5,1971,252.0,825,1993,2,1,4,8,1,495,0,66,6,2006,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
153,13500,6,7,1960,0.0,1602,1252,1,0,1,4,1,564,409,0,3,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
154,11340,6,5,1923,0.0,1200,1200,1,0,4,7,0,312,0,0,3,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
155,9600,6,5,1924,0.0,572,1096,1,0,2,5,0,0,0,8,4,2008,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
156,7200,5,7,1950,0.0,0,1040,1,0,2,5,0,625,0,0,6,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
157,12003,8,5,2009,84.0,774,1968,2,1,4,8,1,680,0,75,5,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
158,12552,7,5,2004,0.0,991,1947,2,1,3,8,1,678,0,136,5,2010,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
159,19378,7,5,2005,456.0,1392,2462,2,1,4,9,1,576,239,132,3,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
160,11120,6,6,1984,0.0,1232,1232,2,0,3,6,0,516,0,0,6,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
161,13688,9,5,2003,664.0,1572,2668,2,1,3,10,2,726,400,0,3,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
162,12182,7,5,2005,226.0,1541,1541,2,0,3,7,1,532,0,70,5,2010,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
163,5500,4,6,1956,0.0,882,882,1,0,1,4,0,0,0,0,4,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
164,5400,6,7,1926,0.0,1149,1616,2,0,3,5,0,216,0,0,10,2007,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
165,10106,5,7,1940,0.0,644,1355,2,0,4,6,0,0,140,0,9,2008,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
166,10708,5,5,1955,0.0,1617,1867,1,0,2,7,3,303,476,0,11,2009,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
167,10562,8,5,2007,300.0,1582,2161,1,1,3,8,1,789,178,120,11,2007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
168,8244,7,5,2004,0.0,840,1720,2,1,3,7,1,440,100,48,5,2007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
169,16669,8,6,1981,653.0,1686,1707,2,1,2,6,1,511,574,64,1,2006,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
170,12358,5,6,1941,0.0,720,1382,1,1,2,7,0,660,237,0,5,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
171,31770,6,5,1960,112.0,1080,1656,1,0,3,7,2,528,210,62,5,2010,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
172,5306,7,7,1987,0.0,1064,1767,2,0,2,5,1,504,441,35,6,2006,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
173,10197,6,5,1961,491.0,1362,1362,1,1,3,6,1,504,0,20,6,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
174,12416,6,5,1986,132.0,1606,1651,2,0,3,7,1,616,192,0,11,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
175,12615,6,7,1950,0.0,1202,2158,2,0,4,7,1,576,0,29,6,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
